Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
464,Donostialdea,Donostialdea,Lasarte-Oria,Usurbil,Moto,10:30,99,Lasarte-Oria,2,3,2,Otros hogares con niños,1,6,1,1,2021,23064.520000000004,2,-2.016415543362314,43.26186862394349,-2.033693,43.256347
465,Bidasoa,Donostialdea,Irun,Donostia/San Sebastian,Coche conductor,15:00,23,Donostia/San Sebastian,1,2,1,1 adulto con niño(s),2,4,1,1,2021,25608.31,3,-1.818468824584289,43.33375662503503,-2.033693,43.256347
466,Donostialdea,Donostialdea,Donostia/San Sebastian,Usurbil,Coche conductor,15:30,22,Usurbil,2,3,1,Otros hogares sin niños,2,4,1,1,2021,23630.11,2,-2.023694520647304,43.30703188876913,-2.033693,43.256347
467,Bidasoa,Donostialdea,Irun,Donostia/San Sebastian,Coche conductor,16:00,99,Bilbao,2,4,1,2 adultos con niño(s),1,5,1,1,2021,27788.81,4,-1.7903197551564825,43.33885354772835,-2.033693,43.256347
468,Urola Kosta       ,Donostialdea,Zarautz,Donostia/San Sebastian,Autobús interurbano,07:15,22,Zarautz,1,1,1,2 adultos,2,3,1,1,2021,25026.585,3,-2.175723198780018,43.28583180842021,-2.033693,43.256347
469,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,08:20,22,Donostia/San Sebastian,2,2,1,1 adulto con niño(s),2,5,1,1,2021,23732.11,2,-2.0289548221574294,43.31162460202518,-2.033693,43.256347
470,Donostialdea,Donostialdea,Pasaia,Usurbil,Coche conductor,17:00,22,Usurbil,1,2,1,Hogar de una persona,1,4,1,1,2021,23578.82,3,-1.9295291535699173,43.32378988637748,-2.033693,43.256347
471,Donostialdea,Donostialdea,Donostia/San Sebastian,Pasaia,Autobús interurbano,15:30,22,Pasaia,2,3,2,Otros hogares con niños,2,5,1,1,2021,25444.91,3,-2.0572131495961363,43.31152974286873,-2.033693,43.256347
472,Donostialdea,Donostialdea,Oiartzun,Errenteria,Coche conductor,14:50,22,Oiartzun,2,3,2,Otros hogares con niños,2,3,1,1,2021,21396.285,1,-1.8472399006833065,43.30488806095249,-2.033693,43.256347
473,Bidasoa,Donostialdea,Irun,Donostia/San Sebastian,Autobús interurbano,12:50,22,Irun,2,2,1,2 adultos con niño(s),2,5,1,1,2021,25746.91,3,-1.815888467786093,43.32709516689958,-2.033693,43.256347
474,Debabarrena,Donostialdea,Eibar,Donostia/San Sebastian,Coche conductor,09:30,99,Eibar,2,3,1,2 adultos con niño(s),1,5,1,1,2021,27745.709999999995,4,-2.462416647903244,43.18713495532637,-2.033693,43.256347
475,Donostialdea,Donostialdea,Urnieta,Lasarte-Oria,Coche pasajero,16:30,23,Urnieta,1,2,1,2 adultos,2,5,1,2,2021,21438.8,1,-1.997559018785184,43.24060666141606,-2.033693,43.256347
476,Bidasoa,Donostialdea,Irun,Errenteria,Coche conductor,15:00,22,Errenteria,2,4,2,2 adultos con niño(s),2,5,1,1,2021,25718.91,3,-1.801949203535112,43.31565321722545,-2.033693,43.256347
477,Debagoiena,Donostialdea,Bergara,Usurbil,Coche conductor,15:00,22,Usurbil,2,4,1,Otros hogares sin niños,2,4,1,1,2021,25997.26,3,-2.41275267462417,43.11161265795014,-2.033693,43.256347
478,Urola Kosta       ,Donostialdea,Orio,Donostia/San Sebastian,Coche conductor,07:30,22,Orio,2,3,1,2 adultos con niño(s),1,5,1,1,2021,25548.66,3,-2.126111873472634,43.27645771787805,-2.033693,43.256347
479,Debagoiena,Donostialdea,Bergara,Usurbil,Coche conductor,15:00,22,Usurbil,2,4,1,Otros hogares sin niños,2,4,1,1,2021,25997.26,3,-2.413319203401553,43.110847656649376,-2.033693,43.256347
480,Donostialdea,Donostialdea,Oiartzun,Donostia/San Sebastian,Coche conductor,20:45,22,Oiartzun,1,2,1,Hogar de una persona,1,5,1,1,2021,24853.22,3,-1.8659156564803692,43.29952395682398,-2.033693,43.256347
481,Donostialdea,Donostialdea,Donostia/San Sebastian,Urnieta,Coche conductor,05:30,22,Donostia/San Sebastian,2,3,1,2 adultos con niño(s),1,4,1,1,2021,26958.709999999995,4,-2.026623329622301,43.31399213417068,-2.033693,43.256347
482,Tolosaldea,Donostialdea,Tolosa,Hernani,Coche conductor,06:50,22,Tolosa,2,2,1,1 adulto con niño(s),1,4,1,1,2021,22406.520000000004,2,-2.0905219765870307,43.12329830782017,-2.033693,43.256347
483,Urola Kosta       ,Donostialdea,Orio,Usurbil,Coche conductor,21:00,22,Usurbil,2,3,1,2 adultos con niño(s),2,4,1,1,2021,25571.56,3,-2.1271734770183417,43.27852062201739,-2.033693,43.256347
484,Donostialdea,Donostialdea,Pasaia,Errenteria,Coche conductor,21:30,99,Errenteria,2,3,1,Otros hogares con niños,1,4,1,1,2021,26038.81,4,-1.9185079263772795,43.31683143308421,-2.033693,43.256347
485,Bidasoa,Donostialdea,Irun,Lezo,Coche conductor,08:15,22,Irun,2,3,2,2 adultos con niño(s),1,5,1,1,2021,27465.11,4,-1.7943046142296093,43.34113885126963,-2.033693,43.256347
486,Urola Kosta       ,Donostialdea,Zarautz,Donostia/San Sebastian,Coche conductor,15:00,22,Donostia/San Sebastian,1,2,1,2 adultos,1,5,1,1,2021,29017.46,4,-2.1628206323692214,43.28448758530491,-2.033693,43.256347
